feature_set,training_rmse,test_rmse
artist,0.07828337552051047,0.06875863796687924
reviewauthor,0.07658546246106895,0.07210345302921223
releaseyear,0.07837254247622055,0.067896870190529
recordlabel,0.0785644971673894,0.0769044312976008
genre,0.07820724064537031,0.06880050778401643
danceability,0.07829000441937227,0.06846971572507865
energy,0.0784890264001479,0.06798942515816554
key,0.07855967724420557,0.06808587929935589
loudness,0.07825555397782058,0.06797938554921015
speechiness,0.07856396347731937,0.06827884854483042
acousticness,0.07840512315587732,0.06818357757415389
instrumentalness,0.07822622263060248,0.06823003675800653
liveness,0.07856452875683792,0.06817411653872907
valence,0.07841825096791759,0.0687650068145933
tempo,0.07856036635353718,0.0682281353783219
danceability_energy_key_loudness_speechiness_acousticness_instrumentalness_liveness_valence_tempo,0.07794283587864906,0.0684635313837213
artist_reviewauthor_releaseyear_recordlabel_genre,0.07587043292169715,0.0883144478400238
artist_reviewauthor_releaseyear_recordlabel_genre_danceability_energy_key_loudness_speechiness_acousticness_instrumentalness_liveness_valence_tempo,0.07563192072165363,0.08941407830489552
